;;;;;;Ассортимент;;;;;Ассортимент США;;;;;;Краткие описания;;;;;;ID_CISS;;;;;;;;;;ID_PRINTER_CISS;;;;;;;;;;;ID_PRINTER_RC;;;;;;;;;;ID_SVODNAY_CISS;;;;;;;;ID_CARTRIDGE;;;;;;;;ID_CARTRIDGE_SVODNAYA;;;;;;;;ID_INK_SET;;;;;;;;ID_INK_SEPARETED;;;;;;;;Фильтр поиска по модели;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Цены на официальном сайте;;;;;;;;;;;;Цены на пустые СНПЧ;;;;;;;;;;Цены на пустые ПЗК;;;;;;;;;;Цены на Чернила 100 мл;;;;Цены на принтеры;;;;;;;;;;Цена на оригиналы;;;;;;Наличие на складе Принтеров;;Наличие на складе СНПЧ;;Наличие на складе ПЗК;;Наличие на складе чернил;;;;;
№;ID_CATALOG;ID_РАЗДЕЛ;ID_ПРИНТЕР;Имя принтера;;Принтер с СНПЧ;Принтер с ПЗК;СНПЧ;ПЗК;Чернила;Совместимые картриджи (Проект);Принтер с СНПЧ;Принтер с ПЗК;СНПЧ;ПЗК;;Poland;France;England;German;Italia;Spain;ID_CISS_COM;ID_CISS_EU;ID_CISS_PL;ID_CISS_FR;ID_CISS_CO.UK;ID_CISS_DE;ID_CISS_IT;ID_CISS_ES;ID_CISS_BIZ;ID_CISS_ORIG;ID_PRINTER_CISS_COM;ID_PRINTER_CISS_EU;ID_PRINTER_CISS_PL;ID_PRINTER_CISS_FR;ID_PRINTER_CISS_CO.UK;ID_PRINTER_CISS_DE;ID_PRINTER_CISS_IT;ID_PRINTER_CISS_ES;ID_PRINTER_CISS_BIZ;ID_PRINTER_CISS_ORIG;;ID_PRINTER_RC_COM;ID_PRINTER_RC_EU;ID_PRINTER_RC_PL;ID_PRINTER_RC_FR;ID_PRINTER_RC_CO.UK;ID_PRINTER_RC_DE;ID_PRINTER_RC_IT;ID_PRINTER_RC_ES;ID_PRINTER_RC_BIZ;ID_PRINTER_RC_ORIG;ID_SVODNAY_CISS_COM;ID_SVODNAY_CISS_EU;ID_SVODNAY_CISS_PL;ID_SVODNAY_CISS_FR;ID_SVODNAY_CISS_CO.UK;ID_SVODNAY_CISS_DE;ID_SVODNAY_CISS_IT;ID_SVODNAY_CISS_ES;ID_CARTRIDGE_COM;ID_CARTRIDGE_EU;ID_CARTRIDGE_PL;ID_CARTRIDGE_FR;ID_CARTRIDGE_CO.UK;ID_CARTRIDGE_DE;ID_CARTRIDGE_IT;ID_CARTRIDGE_ES;ID_CARTRIDGE_SVODNAYA_COM;ID_CARTRIDGE_SVODNAYA_EU;ID_CARTRIDGE_SVODNAYA_PL;ID_CARTRIDGE_SVODNAYA_FR;ID_CARTRIDGE_SVODNAYA_CO.UK;ID_CARTRIDGE_SVODNAYA_DE;ID_CARTRIDGE_SVODNAYA_IT;ID_CARTRIDGE_SVODNAYA_ES;ID_INK_SET_COM;ID_INK_SET_EU;ID_INK_SET_PL;ID_INK_SET_FR;ID_INK_SET_CO.UK;ID_INK_SET_DE;ID_INK_SET_IT;ID_INK_SET_ES;ID_INK_SEPARETED_COM;ID_INK_SEPARETED_EU;ID_INK_SEPARETED_PL;ID_INK_SEPARETED_FR;ID_INK_SEPARETED_CO.UK;ID_INK_SEPARETED_DE;ID_INK_SEPARETED_IT;ID_INK_SEPARETED_ES;Producer;Series;Model;sphere_appliance;sphere_appliance_2;sphere_appliance_3;sphere_appliance_4;size;configuration_scanning;configuration_automatic_feed;configuration_two_sided_scanning;configuration_copy;configuration_fax;configuration_two_sided_printing;configuration_print_pc;memory_card;configuration_borderless;ethernet;wi_fi;bluetooth;usb;clouds;printing_on_cd_dvd;format;"Скорость  ч/б печати, стр./мин.";"Скорость цветнойпечати, стр./мин.";Размер капли ;Объем лотка, листов;type_scanner;sheet_feed;разрешение;Вес, кг;printing_on_envelop;printing_on_glossy_surface;printing_on_photopaper;printing_on_cd_card;printing_on_roll;display;фоточернила;пигментные;ультрахромные;невидимые;сублимационные;экосольвентные;Плотность носителя, минимальная;Плотность носителя, максимальная;Модель печатающей головки;Плотность сопел:;Количество сопел на чип:;Операционные системы;Габариты (ШxГxВ);Потребляемая мощность;Уровень шума;Гарантия;скорость копированя;Скорость сканирования;Оптическое разрешение сканера;Рабочее напряжение;Частота переменного тока;Price USD;Price EUR;Price GBP;Snyat_USA;Snyat_EUR;Замена;Замена EC;nomer_cartridga_Standart;nomer_cartridga_XL;nomer_cartridga_XXL;chip;Количество картриджей;USD;EUR;PLN;GBP;РУБ;ГРН;БЕЛ. РУБ.;ТЕНГЕ;ЛЕИ;ЛАРИ;USD;EUR;PLN;GBP;РУБ;ГРН;БЕЛ. РУБ.;ТЕНГЕ;ЛЕИ;ЛАРИ;USD;EUR;PLN;GBP;USD;EUR;PLN;GBP;РУБ;ГРН;БЕЛ. РУБ.;ТЕНГЕ;ЛЕИ;ЛАРИ;USD;EUR;PLN;GBP;Soput;Вес принтера;Наличие США;Наличие Европа;Наличие США;Наличие Европа;Наличие США;Наличие Европа;Наличие США;Наличие Европа;Вес СНПЧ;Вес картриджей;Вес чернил;CISS_KIT
1;121;1;1211;Epson Stylus TX120;CISS for 4-colors separate-cartridge Epson  (with USB and chip with reset button);;;;;;0;0;0;0;0;;;;;;;;4462;;;;;;;1548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Epson;T/TX;TX120;home;;;;desktop;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;A4;28;15;4;100;1;1;5760x1440;3,63 кг;1;1;1;0;0;;photo;да;нет;нет;нет;нет;;;;;Монохромный: 90 сопел (K),Цвет: 29 х 3 сопла (CMY);Windows XP/Vista/7\nMac OS X 10.4.11/10.5.8/10.6.x ;436 x 304 x 150 мм ;11.3 Вт ;37.6 дБ ;12;;(300 точек на дюйм) Монохромный:. 4 мс / линия (прибл.) Цвет:. 5 мс / линия (прибл.);600 x 1200 DPI;100 ~120V;50 ~ 60 Гц;;;;;;;;;T1321,T1332-T1334 ;;T1321,T1332-T1334 ;4;65,9;69,9;279,6;59,9;;;;;;;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;;;;;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
2;121;2;1212;Epson Stylus T22;;;;;;;0;0;0;0;0;;;;;;;;4463;;;;;;;1549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Epson;T/TX;Т22;home;;;;desktop;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;A4;28;15;4;100;0;1;5760x1440;2,72 кг;1;1;1;0;0;;photo;да;нет;нет;нет;нет;64 gr/m2;90 gr/m2;;;Монохромный: 90 сопел (K),Цвет: 29 х 3 сопла (CMY);Windows XP/Vista/7\nMac OS X 10.4.11/10.5.8/10.6.x;415х227х135 мм;10.1 Вт;;12;;;;220 ~ 240V;50 ~ 60 Гц;;;;;;;;;T1321,T1332-T1334 ;;T1321,T1332-T1334 ;4;65,9;69,9;279,6;59,9;;;;;;;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;;;;;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
5;122;5;1225;Epson Stylus T25;;;;;;;0;0;0;0;0;;;;;;;;4464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Epson;T/TX;Т25;home;;;;desktop;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;A4;28;15;4;100;0;1;5760x1440;2,72 кг;1;1;1;0;0;;photo;да;нет;нет;нет;нет;64 г/м2; 90 г/м2;;;Монохромный: 90 сопел (K),Цвет: 29 х 3 сопла (CMY);"Windows ® 7, Windows Vista ®, Windows XP, Windows XP Professional x64Mac OS ® X 10.4.11, 10.5.8 - 10.6.x";;10,1 Вт;;12;;;;220 ~ 240V;50 ~ 60 Гц;;;;;;;;;T1351,T1332-T1334 ;;T1351,T1332-T1334 ;4;65,9;69,9;279,6;59,9;;;;;;;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;;;;;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
8;124;8;1248;Epson Stylus Office TX525FW ;;;;;;;0;0;0;0;0;;;;;;;;4465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Epson;T/TX;TX525FW;home;;office;;desktop;1;1;0;1;1;1;1;0;1;1;1;0;1;0;0;A4;38;20;3;100;1;1;5760x1440;7,4 кг;1;1;1;0;0;;photo;да;нет;нет;нет;нет;;;;;Монохромный: 360 сопел (K),Цвет: 59 х 3 сопла (CMY);"Windows ® 7, Windows Vista ®, Windows XP, Windows XP Professional x64Mac OS ® X 10.4.11, 10.5.8 - 10.6.x";;4,0 Вт ;39 дБ;12;;"(300 точек на дюйм)Монохромный: 1.1. Мс / линия (прибл.)Цвет: 3.2. Мс / линия (прибл.)";2400 точек на дюйм;220 ~ 240V;50 ~ 60 Гц;;;;;;;;;T1381,T1402-T1404 ;;T1381,T1402-T1404 ;4;65,9;69,9;279,6;59,9;;;;;;;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;;;;;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
10;125;10;12510;Epson Stylus Office TX620FWD;;;;;;;0;0;0;0;0;;;;;;;;4466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Epson;T/TX;TX620FWD;home;;office;;desktop;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;A4;38;38;2;250;1;1;5760x1440;7,26 кг;1;1;1;0;0;;photo;да;нет;нет;нет;нет;;;;;Монохромный: 384 сопел (K), Цвет: 128 х 3 сопла (CMY);"Windows ® 7, Windows Vista ®, Windows XP, Windows XP Professional x64Mac OS ® X 10.4.11, 10.5.8 - 10.6.x";46 х 40,3 х 23,5 см;3,8 Вт;38 дБ;12;;"(300 точек на дюйм)Монохромный: 1.1. Мс / линия (прибл.)Цвет:. 3,0 мс / линия (прибл.)";2400 точек на дюйм;220 ~ 240V;50 ~ 60 Гц;;;;;;;;;T1401-T1404 ;;T1401-T1404 ;4;65,9;69,9;279,6;59,9;;;;;;;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;;;;;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
12;126;12;12612;Epson Stylus NX420;;;;;;;0;0;0;1;1;;;;;;;;1047;;850;850;850;850;850;850;;850;2113;;;;;841;;;1036;841;;5318;;;;;;;;;;;;;;;;;;4871;;;;;;;;;;;;;;;;;;;;;;;;4424;;;;;;;;Epson;N/NX;NX420;home;;office;;desktop;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;A4;35;15;3;100;1;1;5760x1440;5,58 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;;Windows^ 7, Windows Vista^, Windows XP, Windows XP x64\n- Mac OS^ X 10.4.11, 10.5.8, 10.6.x ;343 x450 x183 мм ;13 Вт;38 дБ;12;;;1200 x 1200 DPI ;220 ~ 240V;50 ~ 60 Гц, 0,5 А;99,99;;;;;;;T1241-T1244;T1251-T1254;;T1251-T1254 ;4;65,9;69,9;279,6;59,9;1499;299;300300;6999;1200;99;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;59,99;75,94;316,5;63,25;3200;699;320 000;19000;2030;204,8;;;;;\#30\#\#10\#\#11\#\#13\#\#14\#\#140\#;;;;;;;;;;1;0.25;0.5;
13;126;13;12613;Epson Stylus NX127;;;;;;;0;0;0;1;1;;;;The Epson Stylus NX127 delivers on all counts — quality, ease of use and speed. Set up the all-in-one in minutes and start printing high quality e-mails, maps and more. You'll get crisp, vibrant documents and photos and fast print speeds. It's an impressive combination. Plus, there's no waiting to handle your prints — the NX127 uses instant-dry ink for smudge, fade and water resistant results on plain and photo paper. Just print, grab and go. You can also make color copies with one touch. Or, scan and save important documents, team rosters and magazine articles — all with the included software. Easily take on your document needs with the NX127, the smart, simple solution for amazing results.;;;;4467;;;;;;;;;;5288;;;;;;;;1032;;;5319;;;;;;;;;;;;;;;;;;4872;;;;;;;;;;;;;;;;;;;;;;;;4425;;;;;;;;Epson;N/NX;NX127;home;;;;desktop;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;A4;28;14;4;100;1;1;5760x1440;4,6 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;90 сопла черный, 29 сопла для каждого цвета (голубой, желтый, пурпурный);"Windows ® 7, Windows Vista ®, Windows XP, Windows XP Professional x64,Mac OS ® X 10.4.11, 10.5.8, 10.6.x ";437х475х261 мм;10 Вт;42 дБ;12;;;600 x 1200 точек на дюйм;220 ~ 240V;50 ~ 60 Гц;99,99;;;;;;;T1241-T1244;T1251-T1254;;T1251-T1254 ;4;65,9;69,9;279,6;59,9;;;;;;;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;89,99;67,49;284,36;57,16;;;;;;;;;;;\#30\#\#10\#\#11\#\#13\#\#14\#\#140\#;;;;;;;;;;1;0.25;0.5;
14;126;14;12614;Epson Stylus NX125;;;;;;;0;0;0;1;1;;;;The Epson Stylus NX125 delivers on all counts — quality, ease of use and speed. Set up the all-in-one in minutes and start producing high quality invitations, flyers and more. You'll get crisp, vibrant documents and photos and fast print speeds. It's an impressive combination. Plus, there's no waiting to handle your prints — the NX125 uses instant-dry ink for smudge, fade and water resistant results on plain and photo paper. Just print, grab and go. You can also make color copies with one touch. Or, scan and save recipes, school reports and important documents — all with the included software. Easily take on your family’s printing needs with the NX125, the smart, simple solution for amazing results.;;;;4468;;;;;;;;;;5289;;;;;;;;;;;5320;;;;;;;;;;;;;;;;;;4873;;;;;;;;;;;;;;;;;;;;;;;;4426;;;;;;;;Epson;N/NX;NX125;home;;;;desktop;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;A4;28;15;4;100;1;1;5760x1440;3,9 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;90 сопла черный, 29 сопла для каждого цвета (голубой, желтый, пурпурный);"Windows ® 7, Windows Vista ®, Windows XP, Windows XP Professional x64,Mac OS ® X 10.4.11, 10.5.8, 10.6.x ";436 х 304  х 150 мм; 10,3 Вт;42 дБ;12;Черный: 11sec, Цвет: 38sec;"Моно: 300dpi 4msec/line, Цвет:300dpi 5msec/line";600 x 1200 точек на дюйм;220 ~ 240V;50 ~ 60 Гц;49,99;;;;;;;T1241-T1244;T1251-T1254;;T1251-T1254 ;4;65,9;69,9;279,6;59,9;;;;;;;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;35,95;26,96;113,6;22,83;;;;;;;;;;;\#30\#\#10\#\#11\#\#13\#\#14\#\#140\#;;;;;;;;;;1;0.25;0.5;
15;126;15;12615;Epson WorkForce 520;;;;;;;1;0;0;1;1;;;;;;;;1040;;;;;;;;;;2105;;;;;;;;981;1064;;5321;;;;;;;;;;;;;;;;;;4874;;;;;;;;;;;;;;;;;;;;;;;;4427;;;;;;;;Epson;WorkForce ;WorkForce 520;home;;office;;desktop;1;1;0;1;1;1;0;0;1;1;1;0;1;0;0;A4;15;5,40;3;100;1;1;5760x1440;7,26 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;;Windows^ 7, Windows Vista^, Windows XP, Windows XP x64\n- Mac OS^ X, 10.4.11, 10.5.x and 10.6.x ;459 x 541 x 302 мм ;15 Вт ;39 дБ;12;Черный: 15 симв/мин , Цвет: 5.4 симв/мин ;;1200 x 1200 DPI;220 ~ 240V;0.6 Amp;129,99;;;;;;;T1251-T1254 ;T1261-T1264 ;;T1251-T1254 ;4;65,9;69,9;279,6;59,9;;;;;;;45,9;49,9;199,6;42,9;;;;;;;23,96;27,96;111,84;23,96;129,99;98,75;411,45;82,23;3999;899;;;;;;;;;\#30\#\#10\#\#11\#\#13\#\#14\#\#140\#;;;;;;;;;;1;0.25;0.5;
